Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3506508;Interior;Birigui;3,70E+03;9,73E+01;1,15E+04;4,08E+02
3506607;RMSP (exceto capital);Biritiba Mirim;1,73E+03;1,02E+02;3,09E+03;2,32E+02
3506706;Interior;Boa Esperança do Sul;1,82E+03;4,80E+01;1,01E+04;1,03E+02
3506805;Interior;Bocaina;2,04E+03;3,30E+01;9,23E+03;2,55E+02
3506904;Interior;Bofete;1,67E+03;3,61E+01;7,19E+03;1,81E+02
3507001;Interior;Boituva;2,98E+03;4,71E+01;8,73E+03;2,95E+02
3507100;Interior;Bom Jesus dos Perdões;2,05E+03;1,65E+01;8,18E+03;1,15E+02
3507159;Interior;Bom Sucesso de Itararé;7,77E+02;2,59E+01;5,93E+03;1,55E+02
3507209;Interior;Borá;1,23E+03;0,00E+00;1,44E+04;1,23E+02
3507308;Interior;Boracéia;3,82E+03;4,20E+01;1,71E+04;4,62E+02
3507407;Interior;Borborema;2,27E+03;7,18E+01;8,93E+03;2,74E+02
3507456;Interior;Borebi;2,29E+03;7,75E+01;8,61E+03;7,75E+01
3507506;Interior;Botucatu;2,87E+03;4,11E+01;1,05E+04;1,96E+02
3507605;Interior;Bragança Paulista;3,14E+03;6,22E+01;1,13E+04;2,99E+02
3507704;Interior;Braúna;2,18E+03;1,26E+02;9,01E+03;3,06E+02
3507753;Interior;Brejo Alegre;4,15E+03;2,17E+02;1,04E+04;2,53E+02
3507803;Interior;Brodowski;3,24E+03;9,61E+01;8,70E+03;2,34E+02
3507902;Interior;Brotas;9,98E+02;2,10E+01;9,00E+03;2,68E+02
3508009;Interior;Buri;2,07E+03;5,59E+01;1,14E+04;4,17E+02
3508108;Interior;Buritama;5,19E+03;1,33E+02;1,19E+04;3,31E+02
3508207;Interior;Buritizal;1,97E+03;6,97E+01;6,27E+03;1,63E+02
3508306;Interior;Cabrália Paulista;2,62E+03;0,00E+00;7,80E+03;2,09E+02
3508405;Interior;Cabreúva;3,65E+03;8,70E+01;6,64E+03;2,02E+02
3508504;Interior;Caçapava;2,29E+03;7,78E+01;7,60E+03;2,37E+02
3508603;Interior;Cachoeira Paulista;1,62E+03;5,89E+01;6,99E+03;8,38E+01
3508702;Interior;Caconde;1,70E+03;5,30E+00;6,14E+03;2,02E+02
3508801;Interior;Cafelândia;2,64E+03;7,54E+01;2,20E+03;2,20E+02
3508900;Interior;Caiabu;1,02E+03;4,87E+01;6,80E+03;1,46E+02
3509007;RMSP (exceto capital);Caieiras;3,27E+03;1,09E+02;6,64E+03;2,25E+02
3509106;Interior;Caiuá;1,54E+03;3,57E+01;5,96E+03;1,61E+02
3509205;RMSP (exceto capital);Cajamar;2,41E+03;1,08E+02;4,64E+03;2,09E+02
3509254;Interior;Cajati;7,19E+03;1,62E+02;9,15E+03;2,00E+02
